username,comment,date,like_count
@anden2023,What if He plays as joker?,2024-06-26T23:17:43Z,0
@Huntermyth,"this is your safe spot, friend. you may be trppin but yes, his face changes occasionally.",2024-06-26T18:54:19Z,0
@GregoryWalls,THAT FACE CHANGE IS UNREAL !! WOW OMG,2024-06-23T23:09:23Z,0
@JoseHernandez-dd1zb,"No niego que es un excelente imitador, pero hay claros efectos de cámara apenas perceptibles, donde montan el verdadero rostro del actor representado sobre el de Hader",2024-06-22T04:22:58Z,0
@northscrow9316,"This guy is just awesome, i mean wth?",2024-06-20T12:45:36Z,0
@user-nt2du1qn3q,How can he do it? I don't understand,2024-06-17T01:09:52Z,0
@margaretd7035,Is this really a deepfake or is Bill Hader just really good at doing facial and voice impressions?,2024-06-13T19:20:30Z,0
@moiseshernandezmartinez3403,EL TIPO ES UN CAMALEÓN NO ES HUMANO UN VERDADERO POLIMORFO ES IMPRESIONANTE SUS FUGACES TRANSFORMACIONES FANTÁSTICO  ES HOLOGRAFICO O QUE RAYOS,2024-06-12T00:32:51Z,0
@firearms-explosives,that is nuts,2024-06-06T13:23:29Z,0
@macanudisisimo,is call channaling,2024-06-06T00:01:11Z,0
@yourbadinfluenc,I’mma show it to the homie on shrooms I’ll let you know how it goes,2024-06-05T09:36:37Z,0
@11vaandal,differences in the teeth was big away for me.,2024-06-04T15:54:05Z,0
@sevenseasonsofbrown,bernard black in your profile pic is how everyone feels about this lmao,2024-05-31T21:08:21Z,0
@leeludlowart237,How can someone who doesn’t look like Tom cruise look like Tom cruise??,2024-05-24T22:14:33Z,0
@WnDrLsT85,Man I thought I was trippin seeing that then Seth Rogans as well I mean bill hader is good but not that damn good,2024-05-21T04:47:48Z,0
@GreenhornPhototaker,Remains an all time great deep fake,2024-05-21T01:08:38Z,0
@lovehumanbeings7859,This fading and merging is unbelievable.,2024-05-20T22:06:52Z,0
@daniellamcgee4251,"Demonstrating that Bill Hader is a uniquely talented actor, unlike Tom Cruise. Amazing work.",2024-05-19T22:12:54Z,0
@Dustycat73,He looks a little like Stephen King,2024-05-18T15:21:46Z,0
@boulecoq1700,How the hell do they do that.,2024-05-16T23:53:48Z,0
@boulecoq1700,He did it with Al Pacino and I thought I was seeing things. Amazing,2024-05-16T23:48:31Z,0
@carlostorre3460,"Bill hader is an Alien, attention to this",2024-05-15T21:24:05Z,0
@hcvfggd,How is his face changing like that?,2024-05-12T02:31:02Z,0
@paulleverton9569,"Bill Hader is a genius!
BARRY was the most darkly comic TV ever made.",2024-05-11T22:56:58Z,0
@BBM_new,I almost shit myself in surprise when Seth Rogen showed up,2024-05-09T20:16:31Z,1
@cosmicmonkey4334,Deep Fake?,2024-05-09T16:47:17Z,0
@Andre-kg6fu,Phenomenal! And not only Tom Cruise if it skipped your attention.,2024-05-04T13:50:02Z,0
@katmarino4120,True talent.....,2024-04-28T23:54:18Z,0
@creepyjk863,oh my gott. i think i have ein stroke,2024-04-26T21:25:03Z,0
@US-Air-Forces,How does he do it? Different faces change each other in a second,2024-04-25T09:08:45Z,0
@romeorecella2450,he change faces too.,2024-04-20T10:44:04Z,0
@robertquint4150,Disturbing….,2024-04-16T07:53:03Z,0
@ScooterOnHisWay2024,Amazing how much Hader looks like Cruise when he does a Cruise imitation.,2024-04-09T15:13:38Z,0
@laurieannJake,That’s super cool,2024-04-09T00:45:21Z,0
@guydaley,How the F does he do that?  It's like a super power.,2024-04-07T23:39:51Z,0
@CultShitNiQ,and this was 4 years ago. amazing work mate! imagine doing corn,2024-04-07T15:57:25Z,0
@claudemir849,Esse cara tem um pacto com o demônio,2024-04-06T02:07:11Z,0
@Renegade_222,Either this guy is incredibly talented or it proves the existence of Satan,2024-04-01T17:11:39Z,1
@user-cl6jx8gp1j,This is the ultimate clone transformer,2024-03-22T18:58:12Z,0
@lukaskywalker7791,This is funny but that tech is Disconcerting,2024-03-14T18:51:11Z,0
@dodyzbo,is this real or fake !!!??,2024-03-12T09:04:34Z,0
@NudePostingConspiracyTheories,How the freak does his face actually become Tom Cruise’s face ?!  Unbelievable,2024-03-10T16:24:00Z,0
@teresasellsatl,So creepy. I hate this shit.,2024-03-08T04:31:51Z,0
@Hamm87,Это компьютерная графика?,2024-03-05T13:38:48Z,0
@Jahnink,The way Bill Hader cops Cruise's facial expressions is amazing. He does it with others too. A damn good impressionist.,2024-03-03T11:16:58Z,0
@theskumar1989,"Honestly before I discovered what deep fake is, I went lost in imagination that how some guy can mimic and impersonate not only voice but face. What a stupid a hole till then I was.",2024-03-01T18:29:05Z,1
@N-xi2zh,amazing. sketchy af.,2024-02-27T08:51:42Z,0
@WilliamHendershott,😂😅😅😂😅😂,2024-02-23T05:17:18Z,0
@Jordani023,"He is an Xman for sure. All those faces changing like nothing, o yeah.",2024-02-22T04:31:02Z,0
@peep39,still one of my favorite things on the internet,2024-02-19T17:22:01Z,1
@thorazine0076,how does he transform his face like that?,2024-02-19T07:56:01Z,0
@CivilianAdams,Still one of the scariest videos on the internet.,2024-02-13T02:49:13Z,0
@CeLaLYedkci,Fake,2024-02-12T00:58:14Z,0
@waitingforkalki8919,"How the fuck his face changes
Creepy and amazing",2024-02-09T16:50:36Z,0
@huseynov777,Fake,2024-02-07T07:27:15Z,0
@aurus8x783,Utiliza filtros pero buena actuacion 😊,2024-02-01T14:56:03Z,0
@ashashhh3203,واہ😮زبردست❤,2024-02-01T07:31:24Z,0
@joshhin5295,WHAT KIND OF SORCERY IS THIS!  you need to do Dana Carvey like anything with him!,2024-01-31T20:41:02Z,0
@2ndsspz,Bill rocks,2024-01-27T01:27:35Z,1
@hsaidinsan6345,Is that real?,2024-01-25T17:29:33Z,0
@janbarber7807,A true Face Dancer!,2024-01-24T05:50:50Z,0
@lk969,Hader is remarkable. I SEE these people like he is channeling them. Jamie Fox doing Trump is similarly amazing.,2024-01-24T00:09:16Z,0
@chuyocaca4153,AI is freaky!  isn't it?..  Imagine  you becoming someone else?  just like that!  how much damage you could make in world  affairs!...Jeez...,2024-01-22T05:33:50Z,0
@Karmaenerji,Yapay zeka veya uzaylı =) bu nasıl olabilir,2024-01-21T21:10:32Z,0
@tonigloupy6209,"The shift face is one of the funniest thing I ve seen lol. If you don't know it's a digital manipulation,  you keep wonder wtf😂. Bill Hader is brilliant!!",2024-01-21T16:33:20Z,0
@Yildirimilk,Montaj amk,2024-01-18T16:51:49Z,0
@RonRay,Damn!  His face changes to the actor he imitates perfectly!  This is scary!,2024-01-16T19:27:04Z,0
@brakoo2946,Birer bir yapması  Muazam bir yetenek,2024-01-15T15:51:53Z,0
@drde4010,Incredible!,2024-01-11T04:41:58Z,0
@arthurmcdoogleheimer9443,You're Tom Cruise !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 🤣🤣🤣🤣🤣🤣🤣,2024-01-08T20:33:47Z,0
@Marcelo-og4vc,Even changed his face into Seth Rogan,2024-01-07T02:08:00Z,0
@r.d.n967,"Peki dişleri nasıl değişiyor? Burda bir hile ve ilizyon var bence. bunu stodyodaki seyirciler gormuyor, belki stodyada seyirci bile yok, seyirci varmış gibi ses efekti yapmışlardır, kesinlikle sahte? O dişler nasıl değişiyor?",2024-01-05T19:49:39Z,0
@dans7759,This guy is next level! Absolutely amazing. Is he human?,2024-01-05T01:39:53Z,0
@businesswalks8301,welcome to your future oppression,2024-01-04T05:48:47Z,0
@mariojeronimo1967,alien,2024-01-01T21:39:43Z,0
@reneepaddock346,"I have no words for how impressive this is, lol.",2023-12-30T07:31:55Z,1
@sawsouth,"How long until the global population realises we are not alone 
And these are not human",2023-12-30T03:55:09Z,0
@mariolamesic5036,Shit...its like he becomes other person...,2023-12-29T15:21:18Z,0
@elbagrau,"Says a lot about how professional Tom Cruise is, including the way He treats his coworkers.",2023-12-28T10:17:44Z,0
@Charlton_Kekston,Wow! Amazing!,2023-12-28T00:29:00Z,0
@rodelbunag9823,How did you do that ?,2023-12-23T12:36:04Z,0
@kennichols336,It is a wonder how he does those faces!,2023-12-21T23:40:50Z,0
@ZK_BL102,Bro can wake and choose to be handsome,2023-12-21T09:54:01Z,0
@strNpwrKC,"No deep fakes here.
That's just how good Bill Hader is.

Also, this why Republicans don't believe anything anymore.",2023-12-17T05:28:31Z,0
@mrfly8133,He's a shapeshifter.,2023-12-17T00:41:28Z,0
@OntarioRob,Bill can't believe he's living this life. That's why he's laughing all the time,2023-12-14T19:55:00Z,0
@ozdensevindik3943,How do their teeth change?,2023-12-12T23:27:50Z,0
@ahmetemrehalal5285,Which is your Real face,2023-12-09T13:43:14Z,0
@pervizbehmenov9121,This is a face change program)),2023-12-08T04:28:12Z,0
@pervizbehmenov9121,"Here, they use it when they don't change the face with the program, can't you see the beard in the middle?))",2023-12-08T04:27:24Z,0
@seyfeddinerisen,"When he makes of Seth Rogen
Look at his face 
Some little dots or some beards come up 😅 Techno World welcomes everyone!",2023-12-07T19:09:56Z,0
@ferdiyazc3879,Dişlerinin şekillerini değiştiğini ve bi an sakalları çıktı zannettim yada öyle olmadığına ikna olmaya çalışıyorum,2023-12-07T10:39:15Z,0
@thatdude5456,"To whoever is on acid watching this at 3am.... 



Lizards.",2023-12-02T02:40:04Z,0
@shojinishiyama8299,"Even his teeths changes, really creepy",2023-11-30T20:00:08Z,0
@RandoCommenter123,EEK!,2023-11-29T19:28:35Z,0
@kano4282,"His face transformations are out of this world. Arnie, Al Pacino... it's absolutely insane how he can do that.",2023-11-29T05:10:17Z,0
@user-ts9zf6yr6x,Face shifting,2023-11-22T17:02:21Z,0
@godislord3377,You see him change from tom  time to time...its not a fake,2023-11-21T22:35:16Z,0
@robertgormley684,Incredible how he gets the face right.,2023-11-20T17:02:02Z,0
@deancrisp3596,And now I feel like a bell end for thinking he could look like Arnold when doing the impression,2023-11-17T18:41:17Z,0
@Onn.7,Arcy talent ..,2023-11-11T18:00:03Z,0
@jonb2911,What the hell is going on here,2023-11-07T21:50:31Z,0
@georgepimentel161,"Yes, but how do you grow a Seth Rogan beard for two seconds.",2023-11-07T01:05:18Z,0
@soykanmuri7277,"Now say ""What am I doing here!?"" And then ""What the hell do you want from me?!""",2023-11-06T11:54:00Z,0
@alonsogodoy2707,Maybe is the camera shift😂,2023-11-04T21:26:48Z,0
@alexgarciavillegas6488,No me lo creo! Esto está hecho con inteligencia artificial,2023-11-04T11:02:19Z,0
@felixthelmocevallosmorales41,"Thomas Cruise Mapother IV (Siracusa, Nueva York; 3 de julio de 1962), más conocido como Tom Cruise, es un actor y productor de cine estadounidense ganador de tres premios Globo de Oro, un Premio Saturn y una Palma de Oro honoraria. A lo largo de más de cuatro décadas de carrera ha protagonizado, películas de gran éxito comercial que también han sido aclamadas por la crítica. Tiene entre su repertorio las cintas de acción Top Gun (1986), Days of Thunder (1990), la saga Misión imposible (1996-presente) y Top Gun: Maverick (2022); las películas dramáticas El color del dinero (1986), Rain Man (1988), Nacido el 4 de julio (1989) y Magnolia (1999); la película gótica de terror Entrevista con el vampiro (1994); la comedia romántica Jerry Maguire (1996); así como las películas de ciencia ficción Minority Report (2002), La guerra de los mundos (2005) y Oblivion (2013). También ha protagonizado los thrillers The Firm (1993), Collateral (2004), Valkyrie (2008) y Jack Reacher (2012).",2023-11-03T18:52:08Z,0
