username,comment,date,like_count
@jasonembree8354,"Although, I wouldn't mind hearing Obama saying the last few words in real life. 😆",2024-06-19T20:55:24Z,0
@jasonembree8354,This is not the real Obama!,2024-06-19T20:53:42Z,0
@user-df2vz3ml3x,"Damn I remember when I watched this in 2020 and was like super scared for my future and all. Now deepfake became a part of our lives and we just use it to make Michael Sheen do a silly dance. So maybe this AI stuff turns out to be safe too? I mean, the scariest thing to threaten people is, in fact, people",2024-06-19T12:00:01Z,0
@robertgracia2197,Never trust obama,2024-06-18T20:25:02Z,0
@kwijung,"""Trusted news sources""? Really, jackass? Name one. 

No really, try it.",2024-06-16T15:35:38Z,0
@vadeliabelmonte17,He sucked as a president.,2024-06-11T21:29:12Z,0
@tzeffsmainchannel,Haha! Good *DeepFake!*,2024-06-10T08:28:00Z,0
@andywblanchard5375,"0:22
TRUMP is that",2024-06-09T00:00:42Z,0
@CoastalBrendaG,Yeah cover your lies with deception,2024-05-28T13:53:41Z,0
@Muslimaforever,"""never give up on Fakedeep´
-Tahani mahamed",2024-05-20T16:32:06Z,0
@debbiesharon5249,"Why would anyone trust what is being said by someone in front of an adulterated gold-fringed flag (signifies he only works for U.S. corporation, not the people on the land)?",2024-05-18T23:16:33Z,0
@foxylady5792,That isnt Obama!,2024-05-15T03:42:56Z,0
@sheilapearson9321,"This is not real ok 
I wish find this man and pull this its discussing.",2024-05-13T22:18:56Z,0
@robotpanda77,"""rely on trusted news sources"" is pretty dangerous in of itself. You're giving a monopoly on truth to a corporation that does not have your best interests at heart and is often influenced by politics and money.",2024-05-10T02:31:33Z,0
@elainroles7217,Like AI,2024-05-05T01:11:17Z,0
@carolynhelmic1474,"……… why did Biden say that any country can buy our land!! Now China so far has bought over 400,000 of our acres!!! They are now turning much of it into their military bases to over power America!! Proves that Democrats are Communist !! Obama don’t use your F_ CK words online!!  Proves you might be evil !!",2024-05-02T14:48:02Z,0
@shirleylake1931,FO,2024-05-01T15:22:34Z,0
@maryt5355,Yeah you sneak around behind everybody's back,2024-04-30T14:02:51Z,0
@robertdujin1365,That thing is fake as the Moon landing by humans,2024-04-28T06:09:41Z,1
@ramonhamm3885,"0bama was a horrible president, this is real.",2024-04-25T01:18:54Z,0
@rogerjohnson833,"ISLAMIC ANTICHRIST BARACK H OBAMA,THE AL MAHDI OF ISLAM.",2024-04-22T10:20:46Z,0
@user-vv3qu9we3y,🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🤬🤬🤬🤬🤬🤬🖕🖕🤬🤬🖕🤬🖕🤬🖕,2024-04-20T11:49:43Z,0
@SurprisedCosmos-vp7el,"OBAMA MARRIED A MAN WAS HIS PLAN COP SOME KIDS FROM HIS FRIEND - PRETTY CLOSE TO THE END - TELL THE TRUTH - DO NOT LIE - HOOK UP TO MACHINE TO KNOW WHY - WHY DOES MICHAEL LEVON ROBINSON PEE STANDING UP BARRY SOETORO - ASK MUHAMMAD ""BAPAK"" SUBUD - CIA SECRET - AKA - FROM ALIESTER CROWLEY BARBARA TO GEORGIE - AND POPPA GEORGIE WHO LIKED BOYS TOO 
QUAKE ATTACK - SURROUNDED BY - EVIL MASKED OR NOT SPIRITUAL DOT
ADAM SCHIFF IS DISGRACEFUL MUTT
BUT IS SECRET STAND UP FART MAN",2024-04-13T04:55:37Z,1
@user-ol3tq1se6z,Sometimes they don't even say anything people will misperceive typing and writings anyways,2024-04-10T01:45:25Z,0
@steveshady1957,Not real unbelievable,2024-04-08T12:14:54Z,0
@tomservo75,"Exactly who, though, are these trusted news sources? Who fact-checks the fact-checkers?",2024-04-07T22:56:20Z,0
@susanrabeck1753,Nice AI...,2024-04-07T04:17:16Z,0
@sherylh97,Why does this not look like him did he get hit in the mouth,2024-04-05T22:55:40Z,0
@emailyarabrandao,which softwares were used???,2024-04-03T01:32:57Z,0
@hunkenpunken,Its better he says... BIDENS A PUPPET,2024-03-30T14:23:14Z,0
@cjones3710,Woke joke of foreigner who will not speak of his visits to the man to smoke the cracked kokaine. Then come on. Back for more.Tucker explained this all,2024-03-30T04:11:50Z,0
